epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.6322222222222222,0.645833962038098,0.7588888888888888,0.7609406525540188
2,0.7680555555555556,0.7781031314590724,0.7388888888888889,0.7594607064859611
3,0.8102777777777778,0.8165704570851527,0.7855555555555556,0.7920870123681151
4,0.8888888888888888,0.8920457130471318,0.7855555555555556,0.7860214758315119
5,0.9430555555555555,0.9438407622292455,0.7655555555555555,0.7700583311423004
6,0.955,0.9553271166086701,0.77,0.7670828288166864
7,0.9780555555555556,0.9781899332194818,0.7733333333333333,0.7726770730986215
8,0.9808333333333333,0.980902157719191,0.7466666666666667,0.7582017570045438
9,0.9902777777777778,0.9902910223900926,0.7666666666666667,0.7711167254177062
10,0.9958333333333333,0.9958367043978991,0.7755555555555556,0.7792273851760718
11,0.9930555555555556,0.9930621170230175,0.78,0.7846047130997031
12,0.995,0.9950038277889487,0.7811111111111111,0.7888412412657961
