Epoch 1/100 | Train Loss: 0.5609 | Val Loss: 0.4244 | MAE: 0.5094 | Pearson: 0.8332 | R2: 0.6823
Epoch 2/100 | Train Loss: 0.3744 | Val Loss: 0.3963 | MAE: 0.4951 | Pearson: 0.8408 | R2: 0.7034
Epoch 3/100 | Train Loss: 0.3123 | Val Loss: 0.3974 | MAE: 0.4904 | Pearson: 0.8386 | R2: 0.7023
Epoch 4/100 | Train Loss: 0.2099 | Val Loss: 0.4195 | MAE: 0.5039 | Pearson: 0.8294 | R2: 0.6865
Epoch 5/100 | Train Loss: 0.1393 | Val Loss: 0.4308 | MAE: 0.5147 | Pearson: 0.8290 | R2: 0.6762
Epoch 6/100 | Train Loss: 0.0649 | Val Loss: 0.4254 | MAE: 0.5101 | Pearson: 0.8310 | R2: 0.6820
Epoch 7/100 | Train Loss: 0.0387 | Val Loss: 0.4214 | MAE: 0.5095 | Pearson: 0.8286 | R2: 0.6840
Epoch 8/100 | Train Loss: 0.0206 | Val Loss: 0.4189 | MAE: 0.5066 | Pearson: 0.8309 | R2: 0.6858
Epoch 9/100 | Train Loss: 0.0140 | Val Loss: 0.4236 | MAE: 0.5099 | Pearson: 0.8310 | R2: 0.6833
Epoch 10/100 | Train Loss: 0.0114 | Val Loss: 0.4162 | MAE: 0.5043 | Pearson: 0.8323 | R2: 0.6879
Epoch 11/100 | Train Loss: 0.0109 | Val Loss: 0.4143 | MAE: 0.5028 | Pearson: 0.8329 | R2: 0.6895
Epoch 12/100 | Train Loss: 0.0119 | Val Loss: 0.4124 | MAE: 0.4992 | Pearson: 0.8324 | R2: 0.6911
Epoch 13/100 | Train Loss: 0.0144 | Val Loss: 0.4108 | MAE: 0.4983 | Pearson: 0.8328 | R2: 0.6926
Epoch 14/100 | Train Loss: 0.1072 | Val Loss: 0.4323 | MAE: 0.5194 | Pearson: 0.8276 | R2: 0.6758
Epoch 15/100 | Train Loss: 0.0829 | Val Loss: 0.4396 | MAE: 0.5201 | Pearson: 0.8204 | R2: 0.6715
Epoch 16/100 | Train Loss: 0.0306 | Val Loss: 0.4274 | MAE: 0.5100 | Pearson: 0.8343 | R2: 0.6790
Epoch 17/100 | Train Loss: 0.0127 | Val Loss: 0.4103 | MAE: 0.4964 | Pearson: 0.8329 | R2: 0.6934
Epoch 18/100 | Train Loss: 0.0056 | Val Loss: 0.4087 | MAE: 0.4972 | Pearson: 0.8341 | R2: 0.6942
Epoch 19/100 | Train Loss: 0.0031 | Val Loss: 0.4071 | MAE: 0.4967 | Pearson: 0.8356 | R2: 0.6950
Epoch 20/100 | Train Loss: 0.0039 | Val Loss: 0.4048 | MAE: 0.4945 | Pearson: 0.8352 | R2: 0.6970
Epoch 21/100 | Train Loss: 0.0052 | Val Loss: 0.4090 | MAE: 0.4968 | Pearson: 0.8340 | R2: 0.6941
Epoch 22/100 | Train Loss: 0.0073 | Val Loss: 0.4040 | MAE: 0.4949 | Pearson: 0.8355 | R2: 0.6980
