Epoch 1/100 | Train Loss: 0.3749 | Val Loss: 0.2919 | MAE: 0.4025 | Pearson: 0.7980
Epoch 2/100 | Train Loss: 0.2537 | Val Loss: 0.3126 | MAE: 0.3610 | Pearson: 0.7950
Epoch 3/100 | Train Loss: 0.2013 | Val Loss: 0.2947 | MAE: 0.3731 | Pearson: 0.7979
Epoch 4/100 | Train Loss: 0.1172 | Val Loss: 0.3107 | MAE: 0.3774 | Pearson: 0.7820
Epoch 5/100 | Train Loss: 0.0552 | Val Loss: 0.3278 | MAE: 0.3625 | Pearson: 0.7886
Epoch 6/100 | Train Loss: 0.0301 | Val Loss: 0.2989 | MAE: 0.3452 | Pearson: 0.7966
Epoch 7/100 | Train Loss: 0.0184 | Val Loss: 0.3002 | MAE: 0.3376 | Pearson: 0.7976
Epoch 8/100 | Train Loss: 0.0124 | Val Loss: 0.3163 | MAE: 0.3444 | Pearson: 0.7880
Epoch 9/100 | Train Loss: 0.0111 | Val Loss: 0.2985 | MAE: 0.3230 | Pearson: 0.8002
Epoch 10/100 | Train Loss: 0.0077 | Val Loss: 0.3130 | MAE: 0.3269 | Pearson: 0.7905
Epoch 11/100 | Train Loss: 0.0066 | Val Loss: 0.3106 | MAE: 0.3169 | Pearson: 0.7944
Epoch 12/100 | Train Loss: 0.0058 | Val Loss: 0.3197 | MAE: 0.3284 | Pearson: 0.7863
Epoch 13/100 | Train Loss: 0.0094 | Val Loss: 0.3589 | MAE: 0.3390 | Pearson: 0.7681
Epoch 14/100 | Train Loss: 0.1290 | Val Loss: 0.3248 | MAE: 0.3746 | Pearson: 0.7879
Epoch 15/100 | Train Loss: 0.0235 | Val Loss: 0.3113 | MAE: 0.3388 | Pearson: 0.7876
Epoch 16/100 | Train Loss: 0.0106 | Val Loss: 0.3300 | MAE: 0.3184 | Pearson: 0.7833
Epoch 17/100 | Train Loss: 0.0038 | Val Loss: 0.3397 | MAE: 0.3185 | Pearson: 0.7815
Epoch 18/100 | Train Loss: 0.0022 | Val Loss: 0.3166 | MAE: 0.3146 | Pearson: 0.7870
Epoch 19/100 | Train Loss: 0.0015 | Val Loss: 0.3307 | MAE: 0.3097 | Pearson: 0.7823
