problem,alpha_tag,baseline,test,n_mllmsent,n_baseline,mean_mllmsent,mean_baseline,mean_diff,t_stat,df,p_raw,baseline_ci_half_width,note,p_holm,significant
p3,alpha3,ResNet CNN,welch_t_from_summary_ci,5,5,0.7754435610897292,0.61,0.16544356108972924,8.410877360489902,4.492535582190414,0.0006480882990937354,0.053,ResNet fold logs unavailable; SD reconstructed from reported 95% CI.,0.0011044811008746687,True
p3,alpha3,Swin Transformer,paired_t_test,5,5,0.7754435610897292,0.5950541132868926,0.18038944780283667,10.737420110684688,4.0,0.0004264292921132635,,Fold-wise paired comparison.,0.0011044811008746687,True
p3,alpha3,VADER,paired_t_test,5,5,0.7754435610897292,0.5918506551140637,0.1835929059756656,26.08937410607879,4.0,1.2824925537296624e-05,,Fold-wise paired comparison.,0.00011542432983566961,True
p5,alpha3,ResNet CNN,welch_t_from_summary_ci,5,5,0.5723171039127429,0.45,0.12231710391274292,6.106121693720496,7.520243199134653,0.0003681603669582229,0.034,ResNet fold logs unavailable; SD reconstructed from reported 95% CI.,0.0011044811008746687,True
p5,alpha3,Swin Transformer,paired_t_test,5,5,0.5723171039127429,0.4100506103694494,0.1622664935432934,13.021532745964457,4.0,0.0002007324517616508,,Fold-wise paired comparison.,0.0010036622588082541,True
p3,alpha5,ResNet CNN,welch_t_from_summary_ci,5,5,0.9580931220758677,0.69,0.2680931220758678,15.251814934276267,4.622020447602872,3.949427594467295e-05,0.047,ResNet fold logs unavailable; SD reconstructed from reported 95% CI.,0.0003159542075573836,True
p3,alpha5,Swin Transformer,paired_t_test,5,5,0.9580931220758677,0.7919651119133524,0.16612801016251544,17.89522626558944,4.0,5.730798024905203e-05,,Fold-wise paired comparison.,0.0004011558617433642,True
p3,alpha5,VADER,paired_t_test,5,5,0.9580931220758677,0.8220795961231919,0.13601352595267588,17.8481115154613,4.0,5.790920015820523e-05,,Fold-wise paired comparison.,0.0004011558617433642,True
p5,alpha5,ResNet CNN,welch_t_from_summary_ci,5,5,0.8444936228627477,0.512,0.33249362286274764,10.42804238212565,7.99866640129976,6.209867814155595e-06,0.063,ResNet fold logs unavailable; SD reconstructed from reported 95% CI.,6.209867814155594e-05,True
p5,alpha5,Swin Transformer,paired_t_test,5,5,0.8444936228627477,0.643296088980501,0.20119753388224662,12.693937617998744,4.0,0.00022182378106891309,,Fold-wise paired comparison.,0.0010036622588082541,True
